city,latitude,longitude,weather_main,weather_description,base,temperature,feels_like,minimum_temperature,maximum_temperature,pressure,humidity,sea_level,ground_level,visibility,wind_speed,wind_direction,gust,clouds,weather_time,sunrise,sunset,country,location_name,extraction_time,weather_hour,date,time,day_of_week
gwagwalada,9.0764,6.9854,rain,light rain,stations,26.14,26.14,26.14,26.14,1013,78,1013,990,10000,2.39,94,5.59,100,2026-06-08 20:24:50,2026-06-08 05:12:07,2026-06-08 17:50:18,NG,Kwali,2026-06-08 20:24:50.962484,20,2026-06-08,20:24:50,Monday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,26.83,29.71,26.83,26.83,1013,84,1013,1002,10000,2.82,213,7.62,99,2026-06-08 20:24:51,2026-06-08 05:08:15,2026-06-08 17:41:45,NG,Walmayo,2026-06-08 20:24:51.521386,20,2026-06-08,20:24:51,Monday
panda,9.2624,7.8385,clouds,overcast clouds,stations,23.78,24.62,23.78,23.78,1014,92,1014,971,10000,0.89,37,1.32,100,2026-06-08 23:15:03,2026-06-09 05:08:30,2026-06-09 17:47:28,NG,Maitama,2026-06-08 23:15:03.572802,23,2026-06-08,23:15:03,Monday
gurara,9.322,7.0232,clouds,overcast clouds,stations,24.08,24.79,24.08,24.08,1013,86,1013,973,10000,1.85,80,2.7,100,2026-06-08 23:15:03,2026-06-09 05:11:39,2026-06-09 17:50:50,NG,Suleja,2026-06-08 23:15:04.181025,23,2026-06-08,23:15:03,Monday
bwari,9.2856,7.3787,clouds,overcast clouds,stations,22.49,23.17,22.49,22.49,1014,91,1014,951,10000,2.01,65,3.06,100,2026-06-08 23:15:05,2026-06-09 05:10:18,2026-06-09 17:49:20,NG,Maitama,2026-06-08 23:15:05.718919,23,2026-06-08,23:15:05,Monday
gwagwalada,9.0764,6.9854,clouds,overcast clouds,stations,25.47,26.19,25.47,25.47,1013,81,1013,990,10000,1.09,124,1.95,100,2026-06-08 23:15:05,2026-06-09 05:12:14,2026-06-09 17:50:33,NG,Kwali,2026-06-08 23:15:06.323209,23,2026-06-08,23:15:05,Monday
makurdi,7.7306,8.5361,rain,moderate rain,stations,24.68,25.63,24.68,24.68,1014,93,1014,1002,7274,2.55,210,8.97,100,2026-06-08 23:15:06,2026-06-09 05:08:23,2026-06-09 17:42:00,NG,Walmayo,2026-06-08 23:15:06.911036,23,2026-06-08,23:15:06,Monday
panda,9.2624,7.8385,rain,light rain,stations,23.39,24.21,23.39,23.39,1013,93,1013,970,10000,0.35,221,0.45,100,2026-06-09 03:58:58,2026-06-09 05:08:30,2026-06-09 17:47:28,NG,Maitama,2026-06-09 03:58:58.881202,3,2026-06-09,03:58:58,Tuesday
gurara,9.322,7.0232,rain,light rain,stations,23.14,23.91,23.14,23.14,1013,92,1013,972,10000,1.43,206,4.4,100,2026-06-09 03:58:58,2026-06-09 05:11:39,2026-06-09 17:50:50,NG,Suleja,2026-06-09 03:58:59.013051,3,2026-06-09,03:58:58,Tuesday
bwari,9.2856,7.3787,rain,light rain,stations,22.18,22.86,22.18,22.18,1013,92,1013,951,10000,0.76,216,1.17,100,2026-06-09 03:58:59,2026-06-09 05:10:18,2026-06-09 17:49:20,NG,Maitama,2026-06-09 03:58:59.147318,3,2026-06-09,03:58:59,Tuesday
gwagwalada,9.0764,6.9854,rain,moderate rain,stations,23.82,24.69,23.82,23.82,1013,93,1013,989,10000,1.53,227,5.43,99,2026-06-09 03:58:59,2026-06-09 05:12:14,2026-06-09 17:50:33,NG,Kwali,2026-06-09 03:58:59.280871,3,2026-06-09,03:58:59,Tuesday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,23.77,24.68,23.77,23.77,1012,95,1012,1001,10000,3.05,210,9.24,100,2026-06-09 03:58:59,2026-06-09 05:08:23,2026-06-09 17:42:00,NG,Walmayo,2026-06-09 03:58:59.407920,3,2026-06-09,03:58:59,Tuesday
panda,9.2624,7.8385,clouds,overcast clouds,stations,25.27,26.12,25.27,25.27,1015,87,1015,971,10000,2.14,211,3.16,100,2026-06-09 07:58:57,2026-06-09 05:08:30,2026-06-09 17:47:28,NG,Maitama,2026-06-09 07:58:57.953654,7,2026-06-09,07:58:57,Tuesday
gurara,9.322,7.0232,clouds,overcast clouds,stations,25.17,26.01,25.17,25.17,1014,87,1014,974,10000,2.78,207,3.67,100,2026-06-09 07:58:58,2026-06-09 05:11:39,2026-06-09 17:50:50,NG,Suleja,2026-06-09 07:58:58.549427,7,2026-06-09,07:58:58,Tuesday
bwari,9.2856,7.3787,clouds,overcast clouds,stations,24.04,24.82,24.04,24.04,1015,89,1015,952,10000,2.96,212,3.62,100,2026-06-09 07:58:58,2026-06-09 05:10:18,2026-06-09 17:49:20,NG,Maitama,2026-06-09 07:58:59.141581,7,2026-06-09,07:58:58,Tuesday
gwagwalada,9.0764,6.9854,clouds,overcast clouds,stations,26.18,26.18,26.18,26.18,1014,84,1014,991,10000,2.21,214,2.99,100,2026-06-09 07:58:59,2026-06-09 05:12:14,2026-06-09 17:50:33,NG,Kwali,2026-06-09 07:58:59.607929,7,2026-06-09,07:58:59,Tuesday
makurdi,7.7322,8.5391,clouds,overcast clouds,stations,26.41,26.41,26.41,26.41,1015,82,1015,1003,10000,3.68,240,5.64,100,2026-06-09 07:56:07,2026-06-09 05:08:22,2026-06-09 17:41:59,NG,Walmayo,2026-06-09 07:58:59.703112,7,2026-06-09,07:56:07,Tuesday
panda,9.2624,7.8385,clouds,overcast clouds,stations,29.39,32.99,29.39,29.39,1013,67,1013,970,10000,2.71,182,2.91,97,2026-06-09 11:27:28,2026-06-09 05:08:30,2026-06-09 17:47:28,NG,Maitama,2026-06-09 11:27:29.494942,11,2026-06-09,11:27:28,Tuesday
gurara,9.322,7.0232,clouds,overcast clouds,stations,29.56,32.76,29.56,29.56,1012,64,1012,972,10000,3.17,196,3.61,99,2026-06-09 11:27:29,2026-06-09 05:11:39,2026-06-09 17:50:50,NG,Suleja,2026-06-09 11:27:30.060881,11,2026-06-09,11:27:29,Tuesday
bwari,9.2856,7.3787,clouds,overcast clouds,stations,28.76,31.38,28.76,28.76,1013,65,1013,951,10000,3.21,203,3.43,98,2026-06-09 11:27:30,2026-06-09 05:10:18,2026-06-09 17:49:20,NG,Maitama,2026-06-09 11:27:30.625741,11,2026-06-09,11:27:30,Tuesday
gwagwalada,9.0764,6.9854,clouds,overcast clouds,stations,30.73,34.52,30.73,30.73,1012,61,1012,989,10000,3.03,198,3.47,100,2026-06-09 11:27:30,2026-06-09 05:12:14,2026-06-09 17:50:33,NG,Kwali,2026-06-09 11:27:31.192306,11,2026-06-09,11:27:30,Tuesday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,30.38,34.25,30.38,30.38,1012,63,1012,1001,10000,3.79,225,4.82,98,2026-06-09 11:27:31,2026-06-09 05:08:23,2026-06-09 17:42:00,NG,Walmayo,2026-06-09 11:27:31.760168,11,2026-06-09,11:27:31,Tuesday
panda,9.2624,7.8385,clouds,overcast clouds,stations,30.09,33.64,30.09,30.09,1010,63,1010,967,10000,1.86,211,2.84,100,2026-06-09 15:15:20,2026-06-09 05:08:30,2026-06-09 17:47:28,NG,Maitama,2026-06-09 15:15:21.219117,15,2026-06-09,15:15:20,Tuesday
gurara,9.322,7.0232,clouds,broken clouds,stations,33.1,36.2,33.1,33.1,1009,49,1009,969,10000,2.94,183,2.28,61,2026-06-09 15:15:21,2026-06-09 05:11:39,2026-06-09 17:50:50,NG,Suleja,2026-06-09 15:15:21.787564,15,2026-06-09,15:15:21,Tuesday
bwari,9.2856,7.3787,clouds,overcast clouds,stations,29.8,32.27,29.8,29.8,1010,59,1010,949,10000,1.98,185,2.47,88,2026-06-09 15:15:21,2026-06-09 05:10:18,2026-06-09 17:49:20,NG,Maitama,2026-06-09 15:15:22.352554,15,2026-06-09,15:15:21,Tuesday
gwagwalada,9.0764,6.9854,clouds,overcast clouds,stations,33.91,37.23,33.91,33.91,1009,47,1009,986,10000,3.17,186,2.36,89,2026-06-09 15:15:22,2026-06-09 05:12:14,2026-06-09 17:50:33,NG,Kwali,2026-06-09 15:15:22.918180,15,2026-06-09,15:15:22,Tuesday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,31.48,35.89,31.48,31.48,1009,60,1009,999,10000,2.34,234,3.78,99,2026-06-09 15:15:22,2026-06-09 05:08:23,2026-06-09 17:42:00,NG,Walmayo,2026-06-09 15:15:23.489212,15,2026-06-09,15:15:22,Tuesday
panda,9.2624,7.8385,rain,light rain,stations,26.41,26.41,26.41,26.41,1011,79,1011,968,10000,0.78,298,1.0,91,2026-06-09 18:11:39,2026-06-09 05:08:30,2026-06-09 17:47:28,NG,Maitama,2026-06-09 18:11:40.044631,18,2026-06-09,18:11:39,Tuesday
gurara,9.322,7.0232,clouds,broken clouds,stations,28.21,30.52,28.21,28.21,1010,66,1010,970,10000,2.18,164,5.09,71,2026-06-09 18:11:40,2026-06-09 05:11:39,2026-06-09 17:50:50,NG,Suleja,2026-06-09 18:11:40.596349,18,2026-06-09,18:11:40,Tuesday
bwari,9.2856,7.3787,rain,light rain,stations,25.39,26.05,25.39,25.39,1011,79,1011,949,10000,1.34,193,2.13,80,2026-06-09 18:11:40,2026-06-09 05:10:18,2026-06-09 17:49:20,NG,Maitama,2026-06-09 18:11:41.146820,18,2026-06-09,18:11:40,Tuesday
gwagwalada,9.0764,6.9854,clouds,broken clouds,stations,29.44,32.15,29.44,29.44,1009,62,1009,987,10000,1.58,167,2.57,70,2026-06-09 18:11:41,2026-06-09 05:12:14,2026-06-09 17:50:33,NG,Kwali,2026-06-09 18:11:41.697951,18,2026-06-09,18:11:41,Tuesday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,27.9,31.0,27.9,27.9,1010,74,1010,999,10000,2.92,208,7.62,85,2026-06-09 18:11:41,2026-06-09 05:08:23,2026-06-09 17:42:00,NG,Walmayo,2026-06-09 18:11:42.256145,18,2026-06-09,18:11:41,Tuesday
panda,9.2624,7.8385,clouds,broken clouds,stations,24.47,25.24,24.47,24.47,1013,87,1013,970,10000,0.65,234,0.78,72,2026-06-09 21:50:57,2026-06-09 05:08:30,2026-06-09 17:47:28,NG,Maitama,2026-06-09 21:50:57.628426,21,2026-06-09,21:50:57,Tuesday
gurara,9.322,7.0232,rain,light rain,stations,25.19,25.83,25.19,25.19,1012,79,1012,972,10000,0.82,161,1.02,40,2026-06-09 21:50:57,2026-06-09 05:11:39,2026-06-09 17:50:50,NG,Suleja,2026-06-09 21:50:58.190430,21,2026-06-09,21:50:57,Tuesday
bwari,9.2856,7.3787,clouds,scattered clouds,stations,23.51,24.11,23.51,23.51,1013,84,1013,951,10000,1.29,159,1.43,50,2026-06-09 21:50:58,2026-06-09 05:10:18,2026-06-09 17:49:20,NG,Maitama,2026-06-09 21:50:58.748995,21,2026-06-09,21:50:58,Tuesday
gwagwalada,9.0764,6.9854,rain,light rain,stations,26.17,26.17,26.17,26.17,1012,77,1012,989,10000,1.17,176,1.22,23,2026-06-09 21:50:58,2026-06-09 05:12:14,2026-06-09 17:50:33,NG,Kwali,2026-06-09 21:50:59.301547,21,2026-06-09,21:50:58,Tuesday
makurdi,7.7306,8.5361,clouds,broken clouds,stations,25.95,25.95,25.95,25.95,1013,83,1013,1001,10000,3.22,204,8.95,81,2026-06-09 21:50:59,2026-06-09 05:08:23,2026-06-09 17:42:00,NG,Walmayo,2026-06-09 21:50:59.854164,21,2026-06-09,21:50:59,Tuesday
panda,9.2624,7.8385,clouds,broken clouds,stations,24.2,24.97,24.2,24.2,1013,88,1013,970,10000,0.96,165,1.05,74,2026-06-09 23:19:56,2026-06-10 05:08:37,2026-06-10 17:47:43,NG,Maitama,2026-06-09 23:19:56.702029,23,2026-06-09,23:19:56,Tuesday
gurara,9.322,7.0232,clouds,broken clouds,stations,24.65,25.31,24.65,24.65,1013,82,1013,972,10000,1.38,192,1.45,52,2026-06-09 23:19:56,2026-06-10 05:11:46,2026-06-10 17:51:05,NG,Suleja,2026-06-09 23:19:57.301592,23,2026-06-09,23:19:56,Tuesday
bwari,9.2856,7.3787,clouds,broken clouds,stations,23.3,23.93,23.3,23.3,1013,86,1013,951,10000,1.61,158,1.61,59,2026-06-09 23:19:57,2026-06-10 05:10:25,2026-06-10 17:49:36,NG,Maitama,2026-06-09 23:19:57.897338,23,2026-06-09,23:19:57,Tuesday
gwagwalada,9.0764,6.9854,clouds,scattered clouds,stations,25.79,26.51,25.79,25.79,1012,80,1012,989,10000,1.48,183,1.57,31,2026-06-09 23:19:57,2026-06-10 05:12:21,2026-06-10 17:50:48,NG,Kwali,2026-06-09 23:19:58.034938,23,2026-06-09,23:19:57,Tuesday
makurdi,7.7306,8.5361,clouds,broken clouds,stations,25.67,26.46,25.67,25.67,1013,83,1013,1002,10000,3.15,202,8.98,73,2026-06-09 23:19:58,2026-06-10 05:08:31,2026-06-10 17:42:14,NG,Walmayo,2026-06-09 23:19:58.636260,23,2026-06-09,23:19:58,Tuesday
panda,9.2624,7.8385,clouds,broken clouds,stations,22.7,23.51,22.7,22.7,1013,95,1013,969,10000,0.78,231,0.83,73,2026-06-10 04:10:40,2026-06-10 05:08:37,2026-06-10 17:47:43,NG,Maitama,2026-06-10 04:10:41.355503,4,2026-06-10,04:10:40,Wednesday
gurara,9.322,7.0232,rain,moderate rain,stations,22.6,23.37,22.6,22.6,1013,94,1013,972,10000,1.01,165,1.89,92,2026-06-10 04:10:41,2026-06-10 05:11:46,2026-06-10 17:51:05,NG,Suleja,2026-06-10 04:10:41.490020,4,2026-06-10,04:10:41,Wednesday
bwari,9.2856,7.3787,rain,light rain,stations,21.71,22.42,21.71,21.71,1013,95,1013,950,10000,1.5,211,3.99,94,2026-06-10 04:10:41,2026-06-10 05:10:25,2026-06-10 17:49:36,NG,Maitama,2026-06-10 04:10:42.059877,4,2026-06-10,04:10:41,Wednesday
gwagwalada,9.0764,6.9854,rain,moderate rain,stations,23.38,24.23,23.38,23.38,1012,94,1012,989,10000,0.98,152,1.08,96,2026-06-10 04:10:42,2026-06-10 05:12:21,2026-06-10 17:50:48,NG,Kwali,2026-06-10 04:10:42.629244,4,2026-06-10,04:10:42,Wednesday
makurdi,7.7306,8.5361,clouds,broken clouds,stations,24.0,24.86,24.0,24.0,1012,92,1012,1001,10000,1.98,215,6.89,59,2026-06-10 04:10:42,2026-06-10 05:08:31,2026-06-10 17:42:14,NG,Walmayo,2026-06-10 04:10:43.193572,4,2026-06-10,04:10:42,Wednesday
panda,9.2624,7.8385,clouds,broken clouds,stations,29.07,32.33,29.07,29.07,1014,67,1014,971,10000,1.72,178,2.01,54,2026-06-10 10:12:04,2026-06-10 05:08:37,2026-06-10 17:47:43,NG,Maitama,2026-06-10 10:12:04.885453,10,2026-06-10,10:12:04,Wednesday
gurara,9.322,7.0232,clouds,overcast clouds,stations,28.3,31.41,28.3,28.3,1013,71,1013,973,10000,1.54,159,1.56,88,2026-06-10 10:12:04,2026-06-10 05:11:46,2026-06-10 17:51:05,NG,Suleja,2026-06-10 10:12:05.483886,10,2026-06-10,10:12:04,Wednesday
bwari,9.2856,7.3787,clouds,broken clouds,stations,26.48,26.48,26.48,26.48,1014,75,1014,952,10000,1.41,190,1.74,83,2026-06-10 10:12:05,2026-06-10 05:10:25,2026-06-10 17:49:36,NG,Maitama,2026-06-10 10:12:06.076269,10,2026-06-10,10:12:05,Wednesday
gwagwalada,9.0764,6.9854,clouds,broken clouds,stations,31.16,35.45,31.16,31.16,1013,61,1013,990,10000,1.23,160,1.51,69,2026-06-10 10:12:06,2026-06-10 05:12:21,2026-06-10 17:50:48,NG,Kwali,2026-06-10 10:12:06.666560,10,2026-06-10,10:12:06,Wednesday
makurdi,7.7306,8.5361,rain,light rain,stations,27.48,30.72,27.48,27.48,1014,79,1014,1003,10000,2.31,156,2.96,98,2026-06-10 10:12:06,2026-06-10 05:08:31,2026-06-10 17:42:14,NG,Walmayo,2026-06-10 10:12:07.263003,10,2026-06-10,10:12:06,Wednesday
panda,9.2624,7.8385,clouds,overcast clouds,stations,28.74,32.0,28.74,28.74,1011,69,1011,968,10000,2.55,189,3.0,89,2026-06-10 15:49:12,2026-06-10 05:08:37,2026-06-10 17:47:43,NG,Maitama,2026-06-10 15:49:12.612818,15,2026-06-10,15:49:12,Wednesday
gurara,9.322,7.0232,rain,light rain,stations,29.07,32.69,29.07,29.07,1010,69,1010,970,10000,2.86,167,3.68,82,2026-06-10 15:49:12,2026-06-10 05:11:46,2026-06-10 17:51:05,NG,Suleja,2026-06-10 15:49:12.782603,15,2026-06-10,15:49:12,Wednesday
bwari,9.2856,7.3787,rain,light rain,stations,27.44,30.05,27.44,27.44,1011,74,1011,949,10000,2.6,168,3.28,83,2026-06-10 15:49:12,2026-06-10 05:10:25,2026-06-10 17:49:36,NG,Maitama,2026-06-10 15:49:12.998074,15,2026-06-10,15:49:12,Wednesday
gwagwalada,9.0764,6.9854,rain,light rain,stations,29.93,34.87,29.93,29.93,1010,70,1010,988,10000,2.02,154,3.14,90,2026-06-10 15:49:13,2026-06-10 05:12:21,2026-06-10 17:50:48,NG,Kwali,2026-06-10 15:49:13.170543,15,2026-06-10,15:49:13,Wednesday
makurdi,7.7306,8.5361,clouds,overcast clouds,stations,26.18,26.18,26.18,26.18,1009,79,1009,998,10000,3.24,259,5.67,100,2026-06-10 15:49:13,2026-06-10 05:08:31,2026-06-10 17:42:14,NG,Walmayo,2026-06-10 15:49:13.331520,15,2026-06-10,15:49:13,Wednesday
panda,9.2624,7.8385,clouds,overcast clouds,stations,25.31,26.17,25.31,25.31,1012,87,1012,968,10000,0.68,307,0.71,94,2026-06-10 18:33:56,2026-06-10 05:08:37,2026-06-10 17:47:43,NG,Maitama,2026-06-10 18:33:57.055350,18,2026-06-10,18:33:56,Wednesday
gurara,9.322,7.0232,clouds,few clouds,stations,25.85,26.61,25.85,25.85,1011,81,1011,971,10000,0.99,209,1.07,13,2026-06-10 18:33:57,2026-06-10 05:11:46,2026-06-10 17:51:05,NG,Suleja,2026-06-10 18:33:57.612713,18,2026-06-10,18:33:57,Wednesday
bwari,9.2856,7.3787,clouds,scattered clouds,stations,24.18,24.95,24.18,24.18,1012,88,1012,950,10000,0.55,272,0.71,31,2026-06-10 18:33:57,2026-06-10 05:10:25,2026-06-10 17:49:36,NG,Maitama,2026-06-10 18:33:58.169269,18,2026-06-10,18:33:57,Wednesday
gwagwalada,9.0764,6.9854,clouds,few clouds,stations,26.88,29.39,26.88,26.88,1011,79,1011,988,10000,1.36,199,1.41,15,2026-06-10 18:33:58,2026-06-10 05:12:21,2026-06-10 17:50:48,NG,Kwali,2026-06-10 18:33:58.285496,18,2026-06-10,18:33:58,Wednesday
makurdi,7.7306,8.5361,clouds,scattered clouds,stations,24.47,25.32,24.47,24.47,1010,90,1010,999,10000,1.29,110,1.49,48,2026-06-10 18:33:58,2026-06-10 05:08:31,2026-06-10 17:42:14,NG,Walmayo,2026-06-10 18:33:58.837600,18,2026-06-10,18:33:58,Wednesday
panda,9.2624,7.8385,clouds,overcast clouds,stations,24.46,25.31,24.46,24.46,1013,90,1013,970,10000,0.9,85,0.96,93,2026-06-10 22:08:11,2026-06-10 05:08:37,2026-06-10 17:47:43,NG,Maitama,2026-06-10 22:08:11.543976,22,2026-06-10,22:08:11,Wednesday
gurara,9.322,7.0232,clouds,scattered clouds,stations,24.75,25.58,24.75,24.75,1012,88,1012,971,10000,1.21,143,1.79,43,2026-06-10 22:08:11,2026-06-10 05:11:46,2026-06-10 17:51:05,NG,Suleja,2026-06-10 22:08:11.979839,22,2026-06-10,22:08:11,Wednesday
bwari,9.2856,7.3787,clouds,broken clouds,stations,23.35,24.17,23.35,23.35,1013,93,1013,950,10000,1.25,124,1.51,61,2026-06-10 22:08:12,2026-06-10 05:10:25,2026-06-10 17:49:36,NG,Maitama,2026-06-10 22:08:12.535929,22,2026-06-10,22:08:12,Wednesday
gwagwalada,9.0764,6.9854,clouds,scattered clouds,stations,25.76,26.64,25.76,25.76,1011,86,1011,988,10000,0.99,143,1.08,40,2026-06-10 22:08:12,2026-06-10 05:12:21,2026-06-10 17:50:48,NG,Kwali,2026-06-10 22:08:13.091736,22,2026-06-10,22:08:12,Wednesday
makurdi,7.7306,8.5361,clouds,broken clouds,stations,24.2,25.0,24.2,24.2,1012,89,1012,1001,10000,1.61,136,2.47,83,2026-06-10 22:08:13,2026-06-10 05:08:31,2026-06-10 17:42:14,NG,Walmayo,2026-06-10 22:08:13.650503,22,2026-06-10,22:08:13,Wednesday
panda,9.2624,7.8385,clouds,overcast clouds,stations,22.72,23.42,22.72,22.72,1012,91,1012,968,10000,0.59,192,0.63,92,2026-06-11 04:23:20,2026-06-11 05:08:45,2026-06-11 17:47:58,NG,Maitama,2026-06-11 04:23:20.651319,4,2026-06-11,04:23:20,Thursday
gurara,9.322,7.0232,rain,light rain,stations,22.47,23.17,22.47,22.47,1012,92,1012,971,10000,0.67,196,0.76,89,2026-06-11 04:23:20,2026-06-11 05:11:54,2026-06-11 17:51:20,NG,Suleja,2026-06-11 04:23:21.204029,4,2026-06-11,04:23:20,Thursday
bwari,9.2856,7.3787,rain,light rain,stations,21.45,22.05,21.45,21.45,1012,92,1012,949,10000,0.61,214,0.67,86,2026-06-11 04:23:21,2026-06-11 05:10:33,2026-06-11 17:49:51,NG,Maitama,2026-06-11 04:23:21.760821,4,2026-06-11,04:23:21,Thursday
gwagwalada,9.0764,6.9854,rain,light rain,stations,23.26,23.97,23.26,23.26,1012,89,1012,988,10000,1.01,193,1.13,85,2026-06-11 04:23:21,2026-06-11 05:12:29,2026-06-11 17:51:03,NG,Kwali,2026-06-11 04:23:22.316356,4,2026-06-11,04:23:21,Thursday
makurdi,7.7306,8.5361,clouds,broken clouds,stations,22.06,22.67,22.06,22.06,1012,90,1012,1000,10000,1.56,196,1.67,58,2026-06-11 04:23:22,2026-06-11 05:08:39,2026-06-11 17:42:29,NG,Walmayo,2026-06-11 04:23:22.866372,4,2026-06-11,04:23:22,Thursday
panda,9.2624,7.8385,clouds,broken clouds,stations,33.44,37.19,33.44,33.44,1012,50,1012,970,10000,0.87,102,2.34,55,2026-06-11 10:45:54,2026-06-11 05:08:45,2026-06-11 17:47:58,NG,Maitama,2026-06-11 10:45:54.506029,10,2026-06-11,10:45:54,Thursday
gurara,9.322,7.0232,clouds,overcast clouds,stations,32.68,35.39,32.68,32.68,1012,49,1012,972,10000,1.33,266,2.16,100,2026-06-11 10:45:54,2026-06-11 05:11:54,2026-06-11 17:51:20,NG,Suleja,2026-06-11 10:45:55.060198,10,2026-06-11,10:45:54,Thursday
bwari,9.2856,7.3787,clouds,overcast clouds,stations,32.02,34.64,32.02,32.02,1012,51,1012,951,10000,0.4,335,2.46,96,2026-06-11 10:45:55,2026-06-11 05:10:33,2026-06-11 17:49:51,NG,Maitama,2026-06-11 10:45:55.614958,10,2026-06-11,10:45:55,Thursday
gwagwalada,9.0764,6.9854,clouds,overcast clouds,stations,33.24,36.48,33.24,33.24,1012,49,1012,989,10000,1.13,260,1.49,92,2026-06-11 10:45:55,2026-06-11 05:12:29,2026-06-11 17:51:03,NG,Kwali,2026-06-11 10:45:56.170719,10,2026-06-11,10:45:55,Thursday
makurdi,7.7306,8.5361,clouds,few clouds,stations,33.91,37.23,33.91,33.91,1011,47,1011,1001,10000,1.16,124,1.62,19,2026-06-11 10:45:56,2026-06-11 05:08:39,2026-06-11 17:42:29,NG,Walmayo,2026-06-11 10:45:56.724422,10,2026-06-11,10:45:56,Thursday
panda,9.2624,7.8385,rain,moderate rain,stations,24.52,25.22,24.52,24.52,1010,84,1010,967,10000,2.45,322,3.8,82,2026-06-11 16:11:39,2026-06-11 05:08:45,2026-06-11 17:47:58,NG,Maitama,2026-06-11 16:11:40.017873,16,2026-06-11,16:11:39,Thursday
gurara,9.322,7.0232,rain,heavy intensity rain,stations,23.3,23.98,23.3,23.3,1011,88,1011,970,2895,7.34,57,12.87,76,2026-06-11 16:11:40,2026-06-11 05:11:54,2026-06-11 17:51:20,NG,Suleja,2026-06-11 16:11:40.569830,16,2026-06-11,16:11:40,Thursday
bwari,9.2856,7.3787,rain,heavy intensity rain,stations,21.53,22.27,21.53,21.53,1011,97,1011,948,7206,2.34,343,5.27,85,2026-06-11 16:11:40,2026-06-11 05:10:33,2026-06-11 17:49:51,NG,Maitama,2026-06-11 16:11:40.749580,16,2026-06-11,16:11:40,Thursday
gwagwalada,9.0764,6.9854,rain,moderate rain,stations,30.0,33.45,30.0,30.0,1010,63,1010,987,10000,3.76,40,6.33,76,2026-06-11 16:11:40,2026-06-11 05:12:29,2026-06-11 17:51:03,NG,Kwali,2026-06-11 16:11:41.299289,16,2026-06-11,16:11:40,Thursday
makurdi,7.7306,8.5361,clear,clear sky,stations,34.08,36.96,34.08,34.08,1008,45,1008,997,10000,0.6,140,1.08,8,2026-06-11 16:11:41,2026-06-11 05:08:39,2026-06-11 17:42:29,NG,Walmayo,2026-06-11 16:11:41.857126,16,2026-06-11,16:11:41,Thursday
